date,client,project,task,description,duration_hours,billable
2026-02-18,Love INC,Nonprofit Mobile Platform,Development,"Login, logout, and CORS fixes",1,no
2026-02-19,Love INC,Nonprofit Mobile Platform,Development,CLI tools for super user creation and invites,1,no
2026-02-20,Love INC,Nonprofit Mobile Platform,Development,"Login polish, favicon, color palette updates",1,no
2026-02-21,Love INC,Nonprofit Mobile Platform,Development,"User avatars to S3, Quill in org and affiliate forms",2,no
2026-02-22,Love INC,Nonprofit Mobile Platform,Development,File upload fixes and S3 production configuration,2,no
2026-02-23,Love INC,Nonprofit Mobile Platform,Development,"Form validation, 508 color compliance, email message templates",2,no
2026-02-23,Love INC,Nonprofit Mobile Platform,Development,Class attachments in API and recurring events schedule fix,1,no
2026-02-24,Love INC,Love INC Mobile App,Development,Impact and Updates pages,5,no
2026-02-24,Love INC,Nonprofit Mobile Platform,Development,Donations module: admin UI and public API endpoint,2,no
2026-02-25,Love INC,Love INC Mobile App,Development,Connect donation screen to GrovLink API,5,no
2026-02-25,Love INC,Love INC Mobile App,Development,CocoaPods migration for iOS build,3,no
2026-02-25,Love INC,Nonprofit Mobile Platform,Development,"Volunteer positions on donations, events, classes, and services",2,no
2026-02-26,Love INC,Love INC Mobile App,Development,"Volunteer experience — modal, profile panel, affiliate positions, page updates",22,no
2026-02-26,Love INC,Nonprofit Mobile Platform,Development,In-app notifications stub and app messaging,2,no
2026-02-26,Love INC,Nonprofit Mobile Platform,Development,Enhanced volunteer API and public volunteer endpoints,2,no
2026-02-27,Love INC,Nonprofit Mobile Platform,Development,Notification polling and CORS resolution,2,no
2026-02-28,Love INC,Love INC Mobile App,Development,Signup and registration forms,10,no
2026-02-28,Love INC,Nonprofit Mobile Platform,Development,Global search across admin,1,no
2026-03-03,Love INC,Nonprofit Mobile Platform,Development,Push notification client integration and environment setup,2,no
2026-03-04,Love INC,Love INC Mobile App,Development,"Push notifications — setup, integration, Verse of the Day tie-in",20,no
2026-03-04,Love INC,Love INC Mobile App,Development,YouTube links via GrovLink proxy,2.5,no
2026-03-04,Love INC,Nonprofit Mobile Platform,Development,"Push notifications: SNS topics, deep links, production wrap-up",3,no
2026-03-05,Love INC,Love INC Mobile App,Development,"Deep links, QR client access, white-screen fixes",12,no
2026-03-05,Love INC,Nonprofit Mobile Platform,Development,Client access settings and public endpoint,2,no
2026-03-05,Love INC,Nonprofit Mobile Platform,Development,I need assistance intake data capture,2,no
2026-03-06,Love INC,Nonprofit Mobile Platform,Development,"Impersonation, vouchers initial stub, production deploy fixes",2,no
2026-03-09,Love INC,Nonprofit Mobile Platform,Development,"Voucher and intake POST endpoints, app user linking",2,no
2026-03-10,Love INC,Nonprofit Mobile Platform,Development,Switch email provider from Resend to AWS SES,1,no
2026-03-10,Love INC,Nonprofit Mobile Platform,Development,"Email templates, app user context menu and delete",2,no
2026-03-11,Love INC,Nonprofit Mobile Platform,Development,"Voucher edits and photos, address format changes",2,no
2026-03-12,Love INC,Love INC Mobile App,Development,"Voucher system — auth, magic-link email, redeem flow, app-user linking",27,no
2026-03-12,Love INC,Nonprofit Mobile Platform,Development,"App users UI, vouchers UI, volunteer module stub",3,no
2026-03-12,Love INC,Nonprofit Mobile Platform,Development,Email messaging: recipient selection and send functionality,2,no
2026-03-12,Love INC,Nonprofit Mobile Platform,Development,Dashboard improvements and voucher table bug fixes,1,no
2026-03-13,Love INC,Nonprofit Mobile Platform,Development,Responsive mobile layout and volunteer affiliate attachment,2,no
2026-03-13,Love INC,Nonprofit Mobile Platform,Development,Org name in external emails and notifications,1,no
2026-03-15,Love INC,Love INC Mobile App,Development,"Home CTAs — donation CTA, Impact Story CTA, CTA row work",8,no
2026-03-15,Love INC,Love INC Mobile App,Development,"CSS and typography overhaul — px to rem, SCSS consolidation, remove component styles",22,no
2026-03-15,Love INC,Nonprofit Mobile Platform,Development,"CTA impact stories, provider API changes, photo upload",2,no
2026-03-16,Love INC,Love INC Mobile App,Development,"Verse of the Day — NPM package v1/v2, in-app integration, share button",18,no
2026-03-16,Love INC,Love INC Mobile App,Development,"Forms and calendar — validation rules, field edits, calendar integration",7,no
2026-03-17,Love INC,Love INC Mobile App,Development,Goal Tracker module — initial stub and full module,22,no
2026-03-17,Love INC,Love INC Mobile App,Development,Stats and charts module — stub and UI,14,no
2026-03-18,Love INC,Love INC Mobile App,Development,"Simple Budget tool — module stub, PDF generation, home widget, UI polish",27,no
2026-03-19,Love INC,Nonprofit Mobile Platform,Development,Provider list and detail screen photos,1,no
2026-03-20,Love INC,Love INC Mobile App,Development,Client vs volunteer access rules and documentation,5,no
2026-03-28,Love INC,Love INC Mobile App,Development,Church partner screens and map triggers on all locations,7,no
2026-03-28,Love INC,Nonprofit Mobile Platform,Development,"UI polish: end date alignment, Deny to Decline label",1,no
2026-04-01,Love INC,Nonprofit Mobile Platform,Development,Quill toolbar button and modal tweaks,1,no
2026-04-02,Love INC,Love INC Mobile App,Development,Quill rich-text editor — line breaks and HTML button styling,4,no
2026-04-07,Love INC,Love INC Mobile App,Development,Pull-to-refresh on Home screen,2.5,no
2026-04-07,Love INC,Love INC Mobile App,Development,Class registration UI and API wiring,10,no
2026-04-07,Love INC,Nonprofit Mobile Platform,Development,Class registration schema and form edits,3,no
2026-04-08,Love INC,Nonprofit Mobile Platform,Development,"Class roster stub, registrant table and PDF export",2,no
2026-04-23,Love INC,Love INC Mobile App,Development,Journal tool — stub-out and iteration,18,no
2026-04-23,Love INC,Love INC Mobile App,Development,Meet Our Staff screen,3,no
2026-04-23,Love INC,Nonprofit Mobile Platform,Development,Team module stub-out,2,no
2026-04-24,Love INC,Nonprofit Mobile Platform,Development,People module updates,1,no
2026-04-25,Love INC,Love INC Mobile App,Development,"App Store submission prep — content updates, Client/Just Looking access, build tweaks",18,no
2026-05-06,Love INC,Love INC Mobile App,Development,"Bug-fix and stabilization pass — foreground white-screen fix, assorted mods",10,no
2026-05-06,Love INC,Nonprofit Mobile Platform,Development,Quill image upload fix,1,no
2026-05-08,Love INC,Love INC Mobile App,Development,More screen expansion — new items and layout,10,no
2026-05-08,Love INC,Nonprofit Mobile Platform,Development,Super user dashboard and user add/edit screen,2,no
2026-05-08,Love INC,Nonprofit Mobile Platform,Development,"Support requests stub, CTA date display, notification dedup",2,no
2026-05-22,Love INC,Nonprofit Mobile Platform,Development,"Help and feedback form, Google Analytics tracking",2,no
2026-06-22,Love INC,Nonprofit Mobile Platform,Development,Help drawer content stub,1,no
2026-06-27,Love INC,Love INC Mobile App,Development,Build automation and App Store deploy v1.0.3,5,no
