date,client,project,task,description,duration_hours,billable
2026-02-24,Love INC,Nonprofit Mobile Platform,Development,"Donations module: admin UI and public API endpoint",2,yes
2026-02-25,Love INC,Nonprofit Mobile Platform,Development,"Volunteer positions on donations, events, classes, and services",2,yes
2026-02-26,Love INC,Nonprofit Mobile Platform,Development,"In-app notifications stub and app messaging",2,yes
2026-02-26,Love INC,Nonprofit Mobile Platform,Development,"Enhanced volunteer API and public volunteer endpoints",2,yes
2026-02-27,Love INC,Nonprofit Mobile Platform,Development,"Notification polling and CORS resolution",2,yes
2026-02-28,Love INC,Nonprofit Mobile Platform,Development,"Global search across admin",1,yes
2026-03-03,Love INC,Nonprofit Mobile Platform,Development,"Push notification client integration and environment setup",2,yes
2026-03-04,Love INC,Nonprofit Mobile Platform,Development,"Push notifications: SNS topics, deep links, production wrap-up",3,yes
2026-03-05,Love INC,Nonprofit Mobile Platform,Development,"Client access settings and public endpoint",2,yes
2026-03-05,Love INC,Nonprofit Mobile Platform,Development,"I need assistance intake data capture",2,yes
2026-03-06,Love INC,Nonprofit Mobile Platform,Development,"Impersonation, vouchers initial stub, production deploy fixes",2,yes
2026-03-09,Love INC,Nonprofit Mobile Platform,Development,"Voucher and intake POST endpoints, app user linking",2,yes
2026-03-10,Love INC,Nonprofit Mobile Platform,Development,"Switch email provider from Resend to AWS SES",1,yes
2026-03-10,Love INC,Nonprofit Mobile Platform,Development,"Email templates, app user context menu and delete",2,yes
2026-03-11,Love INC,Nonprofit Mobile Platform,Development,"Voucher edits and photos, address format changes",2,yes
2026-03-12,Love INC,Nonprofit Mobile Platform,Development,"App users UI, vouchers UI, volunteer module stub",3,yes
2026-03-12,Love INC,Nonprofit Mobile Platform,Development,"Email messaging: recipient selection and send functionality",2,yes
2026-03-12,Love INC,Nonprofit Mobile Platform,Development,"Dashboard improvements and voucher table bug fixes",1,yes
2026-03-13,Love INC,Nonprofit Mobile Platform,Development,"Responsive mobile layout and volunteer affiliate attachment",2,yes
2026-03-13,Love INC,Nonprofit Mobile Platform,Development,"Org name in external emails and notifications",1,yes
2026-03-15,Love INC,Nonprofit Mobile Platform,Development,"CTA impact stories, provider API changes, photo upload",2,yes
2026-03-19,Love INC,Nonprofit Mobile Platform,Development,"Provider list and detail screen photos",1,yes
2026-03-28,Love INC,Nonprofit Mobile Platform,Development,"UI polish: end date alignment, Deny to Decline label",1,yes
2026-04-01,Love INC,Nonprofit Mobile Platform,Development,"Quill toolbar button and modal tweaks",1,yes
2026-04-07,Love INC,Nonprofit Mobile Platform,Development,"Class registration schema and form edits",3,yes
2026-04-08,Love INC,Nonprofit Mobile Platform,Development,"Class roster stub, registrant table and PDF export",2,yes
2026-04-23,Love INC,Nonprofit Mobile Platform,Development,"Team module stub-out",2,yes
2026-04-24,Love INC,Nonprofit Mobile Platform,Development,"People module updates",1,yes
2026-05-06,Love INC,Nonprofit Mobile Platform,Development,"Quill image upload fix",1,yes
2026-05-08,Love INC,Nonprofit Mobile Platform,Development,"Super user dashboard and user add/edit screen",2,yes
2026-05-08,Love INC,Nonprofit Mobile Platform,Development,"Support requests stub, CTA date display, notification dedup",2,yes
2026-05-22,Love INC,Nonprofit Mobile Platform,Development,"Help and feedback form, Google Analytics tracking",2,yes
2026-06-22,Love INC,Nonprofit Mobile Platform,Development,"Help drawer content stub",1,yes
